,greenspace_ratio_percent,prescription_per_100k,aging_rate,pop_density,income_per_capita,unemployment_rate,single_household_rate,college_graduate_rate,psych_clinic_density
greenspace_ratio_percent,1.0,0.45007591614943354,0.7043077315082177,-0.6150295704667741,-0.5269064555446411,0.026843784567534376,0.41319796747558096,-0.30582672429480057,-0.06882914021949807
prescription_per_100k,0.45007591614943354,1.0,0.6362048879873753,-0.19657162631541225,-0.3674119184901227,0.279478786890629,0.6638300273407282,-0.4705512562005075,0.06878378282322906
aging_rate,0.7043077315082177,0.6362048879873753,1.0,-0.6640218736105102,-0.7512668807199229,0.2526617672640026,0.682558175657404,-0.6005978745472494,-0.2639606605684461
pop_density,-0.6150295704667741,-0.19657162631541225,-0.6640218736105102,1.0,0.7968270261174908,-0.22963483866836312,-0.3180787093626142,0.5993172650220765,0.6076958332834268
income_per_capita,-0.5269064555446411,-0.3674119184901227,-0.7512668807199229,0.7968270261174908,1.0,-0.46946330939016917,-0.6160663354895201,0.7857117059736247,0.36812361350025724
unemployment_rate,0.026843784567534376,0.279478786890629,0.2526617672640026,-0.22963483866836312,-0.46946330939016917,1.0,0.5534335540108919,-0.3625016245842241,-0.2128985336746661
single_household_rate,0.41319796747558096,0.6638300273407282,0.682558175657404,-0.3180787093626142,-0.6160663354895201,0.5534335540108919,1.0,-0.5443393990545791,-0.08324447324110251
college_graduate_rate,-0.30582672429480057,-0.4705512562005075,-0.6005978745472494,0.5993172650220765,0.7857117059736247,-0.3625016245842241,-0.5443393990545791,1.0,0.36690165892668447
psych_clinic_density,-0.06882914021949807,0.06878378282322906,-0.2639606605684461,0.6076958332834268,0.36812361350025724,-0.2128985336746661,-0.08324447324110251,0.36690165892668447,1.0
