Model,R-squared/Pseudo-R-squared,AIC,Log-likelihood
OLS,0.5285239678398495,1382.7738115840966,-685.3869057920483
SLM,0.5620196187569938,1381.4433374836963,-683.7216687418481
SEM,0.4934310003395307,1379.6075173449708,-683.8037586724854
SDM,0.7350374982491619,1368.4774313403661,-672.2387156701831
